software,reference,group,score,scoreN,score1,score1N,score2,score2N,score3,score3N,score4,score4N,score5,score5N,1_2_3,1_3_1,1_3,1_5_1,1_5_2,1_6_1,1_6_2,2_1,2_2,2_3,2_4,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5_1,3_1_5_2,3_1_5_3,3_1_5_4,3_2_1,3_2_2,3_2_3,3_2_4,4_1,4_2,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,5_1,5_2_1,5_2_2,5_2_3,5_2_4,5_3_1,5_3_2,5_3_3,5_4_1,5_4_2,description,link
Exafs pour le Mac,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geological software archive,http://www.iucr.org/resources/other-directories/software/exafs-pour-le-mac
EXPGUI,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphical user interface (GUI) editor for GSAS experiment (.EXP) files and shell which allows all the other GSAS programs to be executed with a GUI. EXPGUI is not a replacement for the GSAS program EXPEDT. EXPGUI can do at best 10% of what EXPEDT can do -- but that 10% covers most of the actions that I use frequently (and that I could code without a major effort).,http://www.iucr.org/resources/other-directories/software/expgui
EXPHER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software for experimental data treatment,http://www.iucr.org/resources/other-directories/software/expher
EXPO,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXTRA, a friendly program addressed to full pattern decomposition has been recently delivered. The integrated intensities provided by EXTRA for each reflexion are read by SIRPOW.92 , which applies direct methods for solving crystal structures.",http://www.iucr.org/resources/other-directories/software/expo
EXPO2013,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The heir of EXPO2009, EXPO2013 has been enriched by a variety of new algorithms and graphical tools aiming at strengthening the individual steps of the powder structure solution pathway.",http://www.iucr.org/resources/other-directories/software/expo2013
EXTRAC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To extract integrated intensities from powder. To run EXTRAC you need modules from XRS-82,http://www.iucr.org/resources/other-directories/software/extrac
FACELIFT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Refinement of crystal shape against the intensities of multiple measured reflections coming from redundant area detector data for an analytical absorption correction. Needs the PLATON package. The program was developed to provide the highest possible flexibility (refinement of crystal volume and face distances, rotation of the crystal with respect to the crystal axes, and tilting of individual faces). Now known as EUHEDRAL",http://www.iucr.org/resources/other-directories/software/facelift
FANTOM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculation of conformations of linear and cyclic polypeptides and proteins with low conformational energies including distance and dihedral angle constraints from nuclear magnetic resonance experiments or for modeling purposes.,http://www.iucr.org/resources/other-directories/software/fantom
FAST,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact general fast Fourier transform (FFT),http://www.iucr.org/resources/other-directories/software/fast
FASTA,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,database search program,http://www.iucr.org/resources/other-directories/software/fasta
FFT archive,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFT packages in Fortran and C as well as explanations,http://www.iucr.org/resources/other-directories/software/fft-archive
FFTW,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFTW is a C subroutine library for performing the Discrete Fourier Transform (DFT) in one or more dimensions.,http://www.iucr.org/resources/other-directories/software/fftw
Fhkl,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Computation of diffraction dat (structure factors,",http://www.iucr.org/resources/other-directories/software/fhkl
Fiasco,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiasco was a program for statistical analysis of sampled data. It interprets commands in the SPSS language and produces tabular output in ASCII or PostScript format. The name Fiasco stands for Fiasco Implements Accurate Statistical COmputations. However it is now called pspp,http://www.iucr.org/resources/other-directories/software/fiasco
FINDNCS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FINDNCS is a program which automatically find out NCS operations from heavy atom sites, in order to help applying averaging technique in the MIR procedure. The program outputs the NCS operations (a rotation matrix and translation vector), RMS, polar angles and screw distance, matching sites and other useful information for users. Optinally, the program can also generate some files so that NCS operations can be displayed by the O program automatically.",http://www.iucr.org/resources/other-directories/software/findncs
FIT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decomposition of powder diffraction patterns and profile analysis of atomic distribution functions,http://www.iucr.org/resources/other-directories/software/fit
Fitting,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decision Tree for Optimization Software. Library of software in various languages. For curve fitting and other uses.,http://www.iucr.org/resources/other-directories/software/fitting
Fityk,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General-purpose data fitting program,http://www.iucr.org/resources/other-directories/software/fityk
Flex,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molecular graphics program,http://www.iucr.org/resources/other-directories/software/flex
FOBSCOM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The program analyzes and characterizes the spatial distribution of unmeasured reflections. Program is available on request from the authors.,http://www.iucr.org/resources/other-directories/software/fobscom
FOCUS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a program which draw the atoms, bonds and their density maps using one or more various format coordinate file. Either single or stereo pictures can be ploted. Both ""Ball and Spock"" and ""Space-filling"" styles can work in this program.",http://www.iucr.org/resources/other-directories/software/focus
FOUE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extract/convert the information held in GSAS Fourier Map files. Can currently convert GSAS Fourier map files into ASCII, WinGX, Marching Cubes and Project XD Fourier map formats.",http://www.iucr.org/resources/other-directories/software/foue
FOX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ab initi structure determination from powder diffraction. The crystal structure can be described as any combination of atoms, molecules or polyhedras, without a priori information about the connectivity of these 'building block'.",http://www.iucr.org/resources/other-directories/software/fox
Fragment Finder 2.0,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A web-based interactive computing server which can be used to retrieve structurally similar protein fragments from 25 and 90% nonredundant data sets.,http://www.iucr.org/resources/other-directories/software/fragment-finder-2.0
FULLPAT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quantitative X-ray diffraction methodology that merges the advantages of existing full-pattern fitting methods with the traditional reference intensity ratio (RIR) method. Like the Rietveld quantitative analysis method, it uses complete diffraction patterns, including the background.",http://www.iucr.org/resources/other-directories/software/fullpat
FULLPROF,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peak fitting, see CCP14",http://www.iucr.org/resources/other-directories/software/fullprof
Gaussian94,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"integrated system of programs used in computational chemistry to carry out ab initio, Density Functional Theory and semi-empirical calculations.",http://www.iucr.org/resources/other-directories/software/gaussian94
GDE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Data Environment. An expandable GUI for multiple sequence analysis from the Gilbert Lab Bioinformatics Group,http://www.iucr.org/resources/other-directories/software/gde
GeneDoc,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Featured Multiple Sequence Alignment Editor and,http://www.iucr.org/resources/other-directories/software/genedoc
GENEFP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full-profile fitting program for Cu-target X-ray powder patterns. Determines integrated intensities and search for proper fundamental parameters. When some parameters, such as the grain size, have large uncertainties, the genetic algorithm has an advantage over conventional least-squares methods in finding the global extremum.",http://www.iucr.org/resources/other-directories/software/genefp
GENFIT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GENFIT is a new computer code featuring an advanced model-fitting capability to analyse small-angle X-ray and neutron scattering data of macromolecular systems. Batches of experimental curves can be simultaneously best fitted using common parameters issued from combinations of models and, if applicable, constrained by physical and/or phenomenological relations.",http://www.iucr.org/resources/other-directories/software/genfit
GenomeInspector,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast large scale correlation analysis of genetic structures,http://www.iucr.org/resources/other-directories/software/genomeinspector
GEST,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed for the solution of molecular crystal structures from powder diffraction data. In this package, a genetic algorithm is used for global optimization to search for the structural model. For more efficient calculation time, a modified Bragg R factor is used as the evaluation function for the genetic algorithm. Applications of this program for structure determination of molecular crystals from powder diffraction data are demonstrated with known and previously unknown structures. A friendly graphical user interface (GUI) is used to generate the control file and run the program.",http://www.iucr.org/resources/other-directories/software/guest
GETAREA,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quick calculation of solvent accessible surface area or solvation energy,http://www.iucr.org/resources/other-directories/software/getarea
GETSPEC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calculates the symmetry operators and special positions for any setting of any space group based on the Hall space group symbol (S.R.Hall (1981) Acta Cryst, A37, 517-525). The input may also be given as a Hermann-Mauguin symbol in the setting-specific form used by the Inorganic Crystal Structure Database. The output lists the special positions with their multiplicities, site symmetries and all equivalent coordinates. Wyckoff letters are not given as they cannot be assigned algorithmically.",http://www.iucr.org/resources/other-directories/software/getspec
Ghostview,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postscript previewer,http://www.iucr.org/resources/other-directories/software/ghostview
Gl_render,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To render crystal structure illustrations in POV-Ray (3.0) from MolScript or BobScript,http://www.iucr.org/resources/other-directories/software/gl_render
GraphEnt,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attempts to automate the procedure of calculating maximum entropy maps, with emphasis on the calculation of difference Patterson functions for macromolecular crystallographic problems, while providing a useful graphical output of the current stage of the calculation. Its ASCII-based scripting language is expected to make it portable to other (non-macromolecular) types of problems as well.",http://www.iucr.org/resources/other-directories/software/graphent
Graphics file formats,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,These pages contain specifications for various graphics file formats,http://www.iucr.org/resources/other-directories/software/graphic-files-formats
GRASP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molecular visualization and analysis program,http://www.iucr.org/resources/other-directories/software/grasp
GRINSP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monte Carlo code for the prediction of inorganic structures built up from defined polyhedra. Limited to the P1 space group and to 3-, 4-, 5- and 6- vertices polyhedra connected by corner...",http://www.iucr.org/resources/other-directories/software/grinsp
GSAS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comprehensive system for the refinement of structural models to both x-ray and neutron diffraction data. The GSAS package can be used with both single-crystal and powder diffraction data (Rietveld analysis), even both simultaneously. Neutron data can be either from single-wavelength (reactor-based) instruments, or for those a bit more masochistic, time-of-flight instrumentation.",http://www.iucr.org/resources/other-directories/software/gsas
GSAS-II,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GSAS-II is a general purpose package for data reduction, structure solution and structure refinement that can be used with both single-crystal and powder diffraction data from both neutron and X-ray sources, including laboratory and synchrotron sources, collected on both two- and one-dimensional detectors. It is intended that GSAS-II will eventually replace both the GSAS and the EXPGUI packages. It runs on all common computer platforms and offers highly integrated graphics, both for a user interface and for interpretation of parameters. The package can be applied to all stages of crystallographic analysis for constant-wavelength X-ray and neutron data.",http://www.iucr.org/resources/other-directories/software/gsas-ii
GSAS-Tools,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a simple tool to build and extract GSAS raw files,http://www.iucr.org/resources/other-directories/software/gsas-tools
HARDPACK,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prediction of crystal structure of organic compounds from molecular structure only by minimization of potential energy,http://www.iucr.org/resources/other-directories/software/hardpack
Hartree-Fock-Dirac Application,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scattering, Electron structure and X-ray scattering.Description: The program uses self-consistent field Hartree-Fock-Dirac method, the algorithm of which was developed by I. M. Band (Leningrad Institute of Nuclear Physics) and allows: 1) to calculate electron densities of the atoms with any electron configuration and their energy spectra 2) to visualize the electron densities calculated 3) to compute atomic scattering functions for X-rays;",http://www.iucr.org/resources/other-directories/software/hartree-fock-dirac-application
HBPLUS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogen Bond Calculator,http://www.iucr.org/resources/other-directories/software/hbplus
HEAVY,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heavy atom search, refinement, and MIR/MAD phasing programs in an",http://www.iucr.org/resources/other-directories/software/heavy
HELIX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiber structure determination. Helpful for understanding the relationship between filament structure models and their diffraction patterns. Allows the construction of simple filament models. Calculates the filament diffraction pattern for visual inspection. Allows rapid qualitative testing of different possible models for the unknown structure.,http://www.iucr.org/resources/other-directories/software/helix
HKL2MAP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graphical user-interface for macromolecular phasing. The current version connects several programs from the SHELX-suite to guide the user from analysing scaled diffraction data (SHELXC), via substructure solution (SHELXD) and phasing (SHELXE) to displaying an electron density map (Xfit). You need to have licenced versions of SHELXC/D/E and Xfit in the executable path of your computer.",http://www.iucr.org/resources/other-directories/software/hkl2map
HKL2POWDER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To convert your single crystal HKL data to a pseudo-powder pattern: a) to perform a powder style search-match phase identification on the data;b) to see how the single crystal data compares with a bulk powder diffraction scan;c) to use the derived powder data for indexing (due to a possible twinned cell);d) or as an indexing or general teaching exercise.,http://www.iucr.org/resources/other-directories/software/hkl2powder
HMMER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden Markov model software. Structure analysis of DNA and,http://www.iucr.org/resources/other-directories/software/hmmer
IceX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menu-driven program to operate a two-circle diffractometer from a PC using parallel port for stepper motor driving and serial port for counter communication. The commands allow the user to control the diffractometer and collect the data. The program is supported by a data analysis program, IcePLOT which is especially written for the analysis of arm-zero measurements during a line-up.",http://www.iucr.org/resources/other-directories/software/icex
IGOR Pro,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reduction and analysis of small-angle neutron scattering (SANS) and ultra-small-angle neutron scattering (USANS) data with graphical interface.,http://www.iucr.org/resources/other-directories/software/igor-pro
IL MILIONE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suite of computer programs devoted to protein crystal structure determination by X-ray crystallography: (a) Ab initio phasing, via Patterson or direct methods. (b) Single or multiple isomorphous replacement, single- or multiple-wavelength anomalous diffraction, and single or multiple isomorphous replacement with anomalous scattering techniques. c) Molecular replacement.",http://www.iucr.org/resources/other-directories/software/il-milione
ILL Diffraction group,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"software distribution: Lazy, xplored, mountmo, xtal-3d, etc..",http://www.iucr.org/resources/other-directories/software/ill-diffraction-group
Image Processing resources Foothill College USA,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This list of imaging processing resources is maintained by the,http://www.iucr.org/resources/other-directories/software/defunct/image-processing-resources-foothill-college-usa
ImgLab,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* 2D and 3D image processing optimized for SGI workstations * graphical network editor allows to solve complex image processing tasks by networks of simple operators * 2D image display with image and pixel information and animation for image sequences * 3D volume renderer with hardware acceleration (especially on systems with texture memory) * image data is processed on demand only * processing of tiled images to reduce memory requirements * parallel processing of image tiles on multi processor systems * online extensible with operators and file formats using shared libraries,http://www.iucr.org/resources/other-directories/software/imglab
IndED,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tool for indexing the electron diffraction patters. For given lattice parameters, it calculates the most possible set of all symmetrically equivalent zones. It consists of two sub programs. IndEDr: For known lattice and unknown hkl, it calculates the possible zones using the ratio and the angle between the reciprocal points. IndEDhkl: For known lattice and pair of hkl types, it calculates all possible type of zones and angles which could readyly be transferred on the stereographic (Wulff) net.",http://www.iucr.org/resources/other-directories/software/inded
INDEXINP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Automatic generation of indexing input files, see CCP14",http://www.iucr.org/resources/other-directories/software/indexinp
INSTAT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A computer program for ideal and non-ideal probability density functions of the magnitude of the normalized structure factor.,http://www.iucr.org/resources/other-directories/software/instat
Institute_Pasteur_database,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institute Pasteur database for software and URLs of interest,http://www.iucr.org/resources/other-directories/software/institute_pasteur_database
Interactive Crystallography,,C,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allows the user to choose from from among the 32 crystallographic point groups, enter the values of the relevant elastic constants, and view the resulting Young's Modulus representation surface. In order to use this package, you must have access to Xmaple and support for HTML forms",http://www.iucr.org/resources/other-directories/software/interactive-crystallography
Interprobe,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software for the handling of chemical structures,http://www.iucr.org/resources/other-directories/software/interprobe
INTLDM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stand alone version of LAUEGEN to carry out the stages of processing Laue diffraction spots up to and including the integration of spot intensities.,http://www.iucr.org/resources/other-directories/software/intldm
ISIS/Draw,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemical structure drawing program.,http://www.iucr.org/resources/other-directories/software/isisdraw
ISOTROPY,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The ISOTROPY software suite is a collection of software tools which applies group theoretical methods to the analysis of phase transitions in crystalline solids.  It includes ISOTROPY, ISODISTORT, ISOCIF, FINDSYM, INVARIANTS, and other programs, as well as extensive tables of superspace groups, magnetic space groups and irreducible representations.",http://www.iucr.org/resources/other-directories/software/isotropy
ITO,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indexing, see CCP14",http://www.iucr.org/resources/other-directories/software/ito
IUMSC Java graphics,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java graphic demonstration for crystallography from IUMSC,http://www.iucr.org/resources/other-directories/software/iumsc-java-graphics
IVTON,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates geometrical parameters of crystal structures.,http://www.iucr.org/resources/other-directories/software/ivton
Jalview,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple alignment editor,http://www.iucr.org/resources/other-directories/software/jalview
Jana2000,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crystallographic computing system for standard, modulated and composite structures.",http://www.iucr.org/resources/other-directories/software/jana2000
Jap3D,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rendering electron density data into three-dimensional isosurfaces. Electron density data have to be provided in a simple ASCII format or in binary format.,http://www.iucr.org/resources/other-directories/software/jap3d
Jcrystal,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a computer program for creating, editing, displaying and deploying crystal shapes.",http://www.iucr.org/resources/other-directories/software/jcrystal
JECP/ED,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simulation of selected-area and precession electron diffraction patterns,http://www.iucr.org/resources/other-directories/software/jecped
J-ICE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A new interface for Jmol has been developed, called J-ICE, for handling and visualizing crystallographic and electronic properties entirely via a web server, i.e. without the burden of installing complex packages. J-ICE can also be employed as an import/export tool, to transform universal CIF or Protein Data Bank structure files (from experiment or previous calculations) into an input format compatible with programs such as CRYSTAL09, CASTEP, QUANTUM ESPRESSO and VASP.",http://www.iucr.org/resources/other-directories/software/j-ice
Jitax77,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conversion of CCD frame data from TIFF format to Photonic Science FLF format.,http://www.iucr.org/resources/other-directories/software/jitax77
JoinMap,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software package for the construction of genetic,http://www.iucr.org/resources/other-directories/software/joinmap
JSV,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Version 1.07. Structure Viewer. Accepts input data for asymmetric unit cell, full unit cell or cartesian coordinates for all spacegroup symmetries. Measuring distances and angles, periodic table for radius and atom color settings. Output PostSript, VRML, GIF JPG. Includes also X-ray intensity calculations and a special reciprocal space viewer for viewing 3D/2D diffraction patterns. Real time rotations are possible for 3D mode, precession mode and Laue mode. Furthermore it includes an improved version of STEREOGRAM software. The Wulff net may be zoomed and dragged. Besides poles (hkl) it can plot zone axes [uvw] and produce PostScript output. Needs the java interpreter JDK1.2 (http://www.javasoft.com) to run it.",http://www.iucr.org/resources/other-directories/software/jsv
K_Space Navigator,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_Space Navigator,http://www.iucr.org/resources/other-directories/software/k_space-navigator
KCrystal,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux `live-CD' (a Linux system running from a bootable CD) that contains a collection of the main software (free distribution) used in the Rietveld method.,http://www.iucr.org/resources/other-directories/software/kcrystal
Khoros,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image processing and visualization system. Build your own application using a flexible User Configuration Preferences, streaming Data Services and Operators, visual Workspace Compilers, installation, Packaging, and Build System. User Friendly Code Generation Paradigm. Online Manuals and Automated Migration.",http://www.iucr.org/resources/other-directories/software/khoros
Kintecus,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To model the reactions of chemical, biological, nuclear and atmospheric processes using two input spreadsheet files: a reaction spreadsheet and a species description spreadsheet. Has been designed with ease of use in mind. In the new version ability to run Chemkin/Senkin models without programming or compiling. Support for Excel and Lotus spreadsheet programs. Other chemistry programs available.",http://www.iucr.org/resources/other-directories/software/kintecus
Koalariet,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rietveld program.Modeling of peaks using the approach described by Coehlo and Cheary.,http://www.iucr.org/resources/other-directories/software/koalariet
KOQUA2,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A program for simulating divergent-beam diffraction pattern for crystals and quasicrystals.,http://www.iucr.org/resources/other-directories/software/koqua2
Kriber,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interactive program to calculate distances and angles, generate input files for the program DLS-76 and for the program LOADAT of the X-Ray Rietveld System XRS-82, and calculate coordination sequences and loop configurations.",http://www.iucr.org/resources/other-directories/software/kriber
KUPLOT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interactive plotting program controlled by a command language. KUPLOT is part of the diffuse scattering simulation package DISCUS, however it can be used totally independent of the DISCUS software.",http://www.iucr.org/resources/other-directories/software/kuplot
LaboTex,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Analysis of crystallographic textures. Calculations and graphic analysis of Orientation Distribution Function (ODF), Pole Figures (PFs) and Inverse Pole Figures (IPFs). Correction of figures on account of their defocussing and background, as well as preliminary normalization. Possibility of symmetrization and analysis of poles figures.",http://www.iucr.org/resources/other-directories/software/labotex
LAC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java Applet for Linear Absorbtion Coefficient calculation.,http://www.iucr.org/resources/other-directories/software/lac
LACE 3D,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D space Solid and Macromolecular Modeler,http://www.iucr.org/resources/other-directories/software/lace-3d
